,STOP_ID_ANONY,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
5552,5553,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),17,MALE,BLACK,5.1,150,THN,BRO,BLK
5553,5554,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),18,MALE,BLACK,5.6,80,MED,BLK,BLK
5554,5555,ROBBERY,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,11,MALE,BLACK,6,160,THN,BLK,BLK
5555,5556,CPW,Y,Y,Y,N,(,N,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),16,MALE,BLACK HISPANIC,5.6,130,THN,BRO,BLK
5556,5557,CPW,Y,Y,Y,N,N,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),20,MALE,BLACK,5.11,150,MED,BRO,BLK
5557,5558,ROBBERY,Y,Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,14,MALE,WHITE HISPANIC,5.1,200,MED,BLK,BLK
5558,5559,GRAND LARCENY AUTO,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,25,MALE,BLACK,6,180,THN,BRO,BLK
5559,5560,CRIMINAL MISCHIEF,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,41,MALE,BLACK,5.1,160,THN,BRO,BLK
5560,5561,BURGLARY,N,N,N,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,13,MALE,BLACK,5.6,140,MED,BRO,BRO
5561,5562,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,51,MALE,BLACK,5.2,160,MED,BRO,GRY
5562,5563,ASSAULT,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,19,MALE,BLACK HISPANIC,5.8,165,MED,BLK,BLK
5563,5564,CPW,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),22,MALE,BLACK,5.7,160,MED,BRO,BLK
5564,5565,OTHER,Y,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),39,MALE,BLACK HISPANIC,6,200,MED,(null),BLK
5565,5566,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),28,MALE,BLACK HISPANIC,6,180,MED,BRO,BLK
5566,5567,ROBBERY,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,MALE,BLACK,5.1,150,THN,BLK,BLK
5567,5568,ROBBERY,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),14,MALE,BLACK,5.5,130,THN,BLK,BLK
5568,5569,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),16,MALE,BLACK,6.2,160,THN,BRO,BLK
5569,5570,ASSAULT,Y,Y,N,Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,MALE,BLACK,6,145,THN,BRO,BLK
5570,5571,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,33,MALE,BLACK,6.1,190,MED,BRO,BLK
5571,5572,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,25,FEMALE,WHITE HISPANIC,5.4,130,THN,BRO,BRO
5572,5573,CPW,Y,Y,Y,N,(,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),18,MALE,WHITE HISPANIC,5.1,170,MED,BRO,BLK
5573,5574,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,20,MALE,BLACK,5.11,160,THN,BLK,BLK
5574,5575,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,25,MALE,WHITE HISPANIC,5.6,130,THN,BRO,BRO
5575,5576,RECKLESS ENDANGERMENT,Y,Y,Y,Y,Y,Y,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),Y,19,MALE,WHITE HISPANIC,5.7,140,THN,BRO,BLK
5576,5577,CPW,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,36,MALE,BLACK,6,200,MED,BLK,BLD
5577,5578,ASSAULT,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,29,MALE,BLACK,5.1,180,MED,BLK,BLK
5578,5579,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),33,MALE,BLACK,6,170,U,BRO,BLD
5579,5580,ASSAULT,Y,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),43,MALE,WHITE HISPANIC,5.1,170,THN,BRO,BLK
5580,5581,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,26,MALE,BLACK,6,260,HEA,BRO,BLK
5581,5582,MENACING,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,24,MALE,BLACK,5.9,150,MED,BRO,BLK
5582,5583,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),35,MALE,BLACK,5.8,180,THN,BRO,BRO
5583,5584,CPW,Y,N,Y,N,N,N,(null),(null),Y,Y,(null),Y,(null),(null),(null),(null),(null),(null),17,MALE,BLACK,5.1,130,THN,BRO,BLK
5584,5585,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),28,MALE,BLACK,5.6,140,THN,BLK,BLK
5585,5586,MENACING,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,(null),MALE,WHITE HISPANIC, , ,THN,BLK,BLK
5586,5587,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,5.11,160,THN,BLK,BLK
5587,5588,CPW,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),22,MALE,WHITE HISPANIC,5.9,150,THN,BRO,BLK
5588,5589,CPW,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK HISPANIC,5.8,150,MED,BRO,BLK
5589,5590,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),13,MALE,BLACK,5.1,115,THN,BRO,BRO
5590,5591,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),14,MALE,BLACK,5.1,150,MED,BLK,BLK
5591,5592,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),MALE,BLACK, , ,THN,BRO,BLK
5592,5593,MENACING,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,(null),MALE,WHITE HISPANIC, , ,THN,BRO,BLK
5593,5594,ASSAULT,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,17,MALE,BLACK,6.2,165,THN,BRO,BLK
5594,5595,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),25,MALE,BLACK,6.1,170,THN,BRO,BLK
5595,5596,MENACING,N,Y,Y,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,40,MALE,BLACK HISPANIC,5.7,130,THN,BRO,GRY
5596,5597,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),37,MALE,WHITE HISPANIC,5.6,200,MED,BLK,BLK
5597,5598,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,15,MALE,BLACK HISPANIC,5.7,140,THN,BLK,BLK
5598,5599,CPW,Y,Y,Y,N,N,Y,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),27,MALE,BLACK,5.8,170,THN,BRO,BLK
5599,5600,CPW,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),28,MALE,BLACK,6.1,150,THN,BRO,BLK
5600,5601,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),25,MALE,WHITE HISPANIC,5.8,160,THN,BRO,BLK
5601,5602,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,5.7,130,THN,BLK,BLK
5602,5603,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,17,FEMALE,BLACK,5.5,160,MED,BLK,BLK
5603,5604,ROBBERY,Y,Y,N,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,16,FEMALE,BLACK,5.8,130,THN,BLK,BLK
5604,5605,GRAND LARCENY,N,Y,Y,N,Y,Y,(null),(null),(null),N,Y,(null),(null),(null),(null),Y,Y,(null),18,MALE,BLACK,5.11,155,THN,BRO,BLK
5605,5606,GRAND LARCENY,N,Y,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,Y,(null),47,MALE,WHITE HISPANIC,5.11,260,HEA,BRO,GRY
5606,5607,PETIT LARCENY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),15,MALE,BLACK,5.5,135,THN,BRO,BLK
5607,5608,ASSAULT,N,Y,N,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.1,165,THN,BRO,BLD
5608,5609,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,6,215,THN,BRO,BLK
5609,5610,OTHER,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,20,FEMALE,BLACK HISPANIC,5.4,120,THN,BRO,BLK
5610,5611,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),17,MALE,BLACK,5.5,140,THN,BRO,BLK
5611,5612,CPW,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,16,MALE,BLACK,5.6,160,THN,BRO,BLK
5612,5613,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,16,MALE,BLACK,5.8,145,THN,BRO,BLK
5613,5614,BURGLARY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),29,MALE,WHITE HISPANIC,5.8,200,MED,BRO,BLK
5614,5615,ASSAULT,N,N,N,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,36,MALE,BLACK,6,150,THN,BLK,BLK
5615,5616,ASSAULT,N,Y,N,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),24,MALE,BLACK,6.1,155,THN,BRO,BLK
5616,5617,CRIMINAL MISCHIEF,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,28,MALE,BLACK HISPANIC,5.8,150,THN,BRO,BLD
5617,5618,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,(null),MALE,BLACK,5.4,120,THN,BRO,BLK
5618,5619,ROBBERY,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,24,MALE,BLACK HISPANIC,5.8,185,MED,BRO,BLK
5619,5620,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,(null),MALE,BLACK,5.8,140,THN,(null),(null)
5620,5621,CPW,N,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,16,MALE,BLACK HISPANIC,5.8,190,HEA,BRO,BLK
5621,5622,CPW,N,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,13,MALE,BLACK HISPANIC,5.5,150,MED,BRO,BLK
5622,5623,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,20,MALE,BLACK,6,170,THN,BRO,BLK
5623,5624,CPW,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,21,MALE,BLACK,5.1,160,THN,BRO,BLK
5624,5625,ROBBERY,Y,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),28,MALE,BLACK,5.9,170,MED,BLK,BLK
5625,5626,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),20,MALE,BLACK,5.8,150,THN,BRO,BLK
5626,5627,CPSP,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,17,MALE,BLACK,5.11,130,THN,BRO,BLK
5627,5628,ROBBERY,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,16,MALE,BLACK,5.9,130,THN,BRO,BLK
5628,5629,CPW,N,Y,N,N,Y,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),26,MALE,BLACK,5.1,200,MED,BRO,BLK
5629,5630,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),23,MALE,WHITE HISPANIC,6,160,MED,BRO,XXX
5630,5631,CPW,Y,Y,Y,N,N,N,(null),Y,(null),Y,(null),Y,Y,(null),(null),(null),(null),(null),14,MALE,BLACK,5.5,140,THN,BLK,BLK
5631,5632,CPW,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,WHITE HISPANIC,5.1,180,THN,BRO,BRO
5632,5633,CPW,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,WHITE HISPANIC,5.1,180,THN,BRO,BRO
5633,5634,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),19,MALE,WHITE HISPANIC,5.7,150,THN,BRO,BRO
5634,5635,UNAUTHORIZED USE OF A VEHICLE,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),19,MALE,WHITE HISPANIC,5.4,165,THN,BRO,BRO
5635,5636,UNAUTHORIZED USE OF A VEHICLE,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),18,MALE,WHITE HISPANIC,5.5,170,MED,BRO,XXX
5636,5637,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),21,FEMALE,BLACK,5.8,180,HEA,BRO,BRO
5637,5638,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,17,FEMALE,BLACK,5.3,110,THN,BRO,BLK
5638,5639,CRIMINAL TRESPASS,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,(null),(null),21,MALE,BLACK,6,220,HEA,BRO,BLK
5639,5640,CRIMINAL TRESPASS,N,N,N,(,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,Y,(null),17,MALE,BLACK,6.1,220,HEA,BRO,BLK
5640,5641,CRIMINAL TRESPASS,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),Y,Y,(null),19,MALE,BLACK,5.11,155,THN,BRO,BLK
5641,5642,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),53,MALE,BLACK,5.11,170,THN,BRO,XXX
5642,5643,GRAND LARCENY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,39,MALE,BLACK,6.2,190,THN,BRO,BLK
5643,5644,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,25,MALE,BLACK,5.9,165,MED,BRO,BLK
5644,5645,ROBBERY,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,(null),MALE,BLACK,5.11,170,MED,BRO,BLK
5645,5646,ROBBERY,N,Y,N,N,(,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,20,MALE,BLACK,6,185,MED,ZZZ,XXX
5646,5647,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK HISPANIC,5.11,220,THN,BRO,XXX
5647,5648,PETIT LARCENY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,(null),MALE,WHITE HISPANIC,5.5,140,MED,BRO,BLK
5648,5649,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),FEMALE,WHITE,5.4,120,THN,BLU,BRO
5649,5650,CPW,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,26,FEMALE,BLACK,5.6,175,MED,BRO,BLK
5650,5651,CPW,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,24,MALE,WHITE HISPANIC,5.1,165,THN,BRO,BLK
5651,5652,CPW,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),26,MALE,BLACK,6.1,150,THN,BRO,BLK
5652,5653,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,6,155,THN,BRO,BRO
5653,5654,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,6.3,265,HEA,BRO,BLK
5654,5655,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK HISPANIC,6,220,MED,BRO,BRO
5655,5656,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,17,MALE,BLACK,5.1,150,THN,BRO,BLK
5656,5657,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,5.7,145,THN,BLK,BLK
5657,5658,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,BLACK HISPANIC,5.8,145,MED,BRO,BLK
5658,5659,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),20,MALE,WHITE HISPANIC,5.5,150,THN,BRO,BLK
5659,5660,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),16,MALE,BLACK,5.6,140,U,ZZZ,BLK
5660,5661,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),17,MALE,BLACK,5.8,150,U,ZZZ,BLK
5661,5662,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),17,FEMALE,BLACK,5.8,140,THN,ZZZ,BLK
5662,5663,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),19,MALE,BLACK,6.3,180,THN,ZZZ,BLK
5663,5664,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,(null),FEMALE,BLACK, , ,MED,BRO,XXX
5664,5665,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),16,MALE,BLACK,5.11,140,THN,BRO,BLK
5665,5666,BURGLARY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,(null),MALE,BLACK, , ,THN,BRO,BLK
5666,5667,CPW,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,28,MALE,WHITE HISPANIC,6,150,THN,BRO,BLK
5667,5668,CPW,N,Y,N,(,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,WHITE, ,150,THN,(null),BLN
5668,5669,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,15,MALE,BLACK,5.6,140,THN,BRO,BLK
5669,5670,PETIT LARCENY,Y,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,29,MALE,BLACK HISPANIC,6,150,THN,BRO,BRO
5670,5671,PETIT LARCENY,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,26,FEMALE,WHITE HISPANIC,5.1, ,MED,BRO,BRO
5671,5672,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),36,MALE,BLACK,5.6,185,MED,BRO,BLK
5672,5673,GRAND LARCENY AUTO,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),23,MALE,BLACK,6.2,180,THN,BRO,BLK
5673,5674,GRAND LARCENY AUTO,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),30,MALE,BLACK,6,180,THN,BRO,BLK
5674,5675,ASSAULT,Y,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),27,MALE,WHITE HISPANIC,5.6,150,THN,HAZ,BLK
5675,5676,PETIT LARCENY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,28,MALE,WHITE,5.6,160,MED,BRO,XXX
5676,5677,CRIMINAL MISCHIEF,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,25,MALE,BLACK,5.11,185,MED,BRO,BLK
5677,5678,ASSAULT,Y,Y,Y,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),30,MALE,BLACK,5.8,165,MED,BLK,BLK
5678,5679,CPW,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),Y,19,MALE,BLACK HISPANIC,5.6,140,THN,BRO,BLK
5679,5680,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),22,MALE,BLACK HISPANIC,5.9,180,MED,BRO,BLK
5680,5681,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),Y,15,MALE,BLACK,5.6,140,THN,BRO,BLK
5681,5682,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,16,MALE,BLACK,6,180,HEA,BRO,BLK
5682,5683,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),Y,16,MALE,BLACK,6.2,150,MED,BRO,BLK
5683,5684,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),Y,15,MALE,BLACK,6.1,180,HEA,BRO,BLK
5684,5685,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),Y,15,MALE,BLACK HISPANIC,5.5,120,THN,BRO,BLK
5685,5686,ASSAULT,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,13,MALE,BLACK,4.1,100,THN,BRO,BLK
5686,5687,CRIMINAL MISCHIEF,Y,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),Y,(null),(null),Y,19,MALE,BLACK,6,160,THN,BRO,BLK
5687,5688,MENACING,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),(null),(null),52,MALE,BLACK HISPANIC,5.8,168,MED,BRO,BLD
5688,5689,PETIT LARCENY,Y,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,34,MALE,ASIAN / PACIFIC ISLANDER,5.9,140,THN,HAZ,BLK
5689,5690,PETIT LARCENY,N,N,N,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,43,MALE,BLACK HISPANIC,5.9,170,MED,MUL,BLK
5690,5691,CPW,Y,Y,Y,Y,Y,N,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),MALE,WHITE HISPANIC,5.7,120,MED,BRO,BLN
5691,5692,OTHER,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,26,MALE,BLACK HISPANIC,5.2,140,MED,BRO,BLK
5692,5693,PETIT LARCENY,Y,N,Y,Y,Y,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,21,MALE,WHITE,5.5,120,THN,BRO,BRO
5693,5694,PETIT LARCENY,Y,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,22,MALE,BLACK,5.9,175,MED,BRO,BLK
5694,5695,CPW,N,Y,N,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,23,MALE,BLACK HISPANIC,5.8,150,MED,BRO,BLK
5695,5696,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,(null),MALE,BLACK,5.9,210,THN,BRO,BLK
5696,5697,CPW,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,WHITE HISPANIC,5.8,140,THN,BRO,BRO
